question,A,B,C,D,correct_answer,category,type
STAR connect from W15 to CR209,BANKE1C,BANKE1B,BANKE1A,,A,Airspace Structure,LTCS
Cam Ranh tower responsibility area has lateral limit :,Circle R= 30km from Cam Ranh tower.,Circle R= 25km from CRA DVOR/DME.,Circle R= 60km from CR NDB.,"A circle with radius 8nm (15km), centered at ARP.",D,Airspace Structure,LTCS
what's the definition of MVA?,Minimum vectoring Altitude,Minimum Vectoring Attitude,Maximum Vectoring Attitude,Maximum Vectoring Altitude,A,Airspace Structure,LTCS
Cam Ranh tower responsibility area has lateral limit :,Circle R= 30km from Cam Ranh tower.,Circle R= 25km from CRA DVOR/DME.,Circle R= 60km from CR NDB.,"A circle with radius 8nm (15km), centered at ARP.",D,Airspace Structure,LTCS
How many SIDs RNP1 for Runway 20L/R,3,4,5,6,C,Airspace Structure,LTCS
How many SIDs RNP1 for Runway 02L/R,3,4,5,6,B,Airspace Structure,LTCS
How many STARs RNP1 for Runway 20L/R,4,5,6,7,A,Airspace Structure,LTCS
How many STARs RNP1 for Runway 02L/R,4,5,6,7,B,Airspace Structure,LTCS
"Minimum sector altitudes or terminal arrival altitudes are established for each aerodrome and provide at least …... (ICAO PANS-OPS/1 - Section 5, Chapter 2","600m (2000 ft) obstacle clearance within 46 km (25 NM) of the navigation aid, initial approach fix, or intermediate fix associated with the approach procedure for that aerodrome.","300m (1000 ft) obstacle clearance within 56 km (30 NM) of the navigation aid, initial approach fix, or intermediate fix associated with the approach procedure for that aerodrome.","300m (1000 ft) obstacle clearance within 46 km (25Nm) of the navigation aid, initial approach fix, or intermediate fix associated with the approach procedure for that aerodrome.","600m (2000 ft) obstacle clearance within 56 km (30 NM) of the navigation aid, initial approach fix, or intermediate fix associated with the approach procedure for that aerodrome.",C,Airspace Structure,LTCS
Description of class C airspace based on classification of airspace,"IFR and VFR flights are permitted, all flights are provided with air traffic control service and IFR flights are separated from other IFR flights and from VFR flights. VFR flights are separated from IFR flights and receive traffic information in respect of other VFR flights","IFR flights only are permitted, all flights are provided with air traffic control service and are separated from each other.","IFR and VFR flights are permitted, all participating IFR flights receive an air traffic advisory service and all flights receive flight information service if requested.","IFR and VFR flights are permitted, IFR flights are provided with air traffic control service and are separated from other IFR flights. All flights receive traffic information as far as is practical. Class E shall not be used for control zones.",A,Regulations,LTCS
MVA stands for?,Minimum Vectoring Altitude.,Minimum Vectoring Attitude,Maximum Vectoring Attitude,Maximum Vectoring Altitude,A,Regulations,LTCS
Acronym of STAR?,Secondary Terminal Arrival,Standard Telephony Arrival,Standard Terminal Assistant,Standard Terminal Arrival,D,Regulations,LTCS
Acronym of SID?,Standard Instruction Departure Route,Standard Instrument Departure Route,Standard Non-instrument Departure Route,Secondary Instrument Departure Route,B,Regulations,LTCS
Which is Aerodrome catefory for fire fighting at Cam Ranh airport?,CAT 7,CAT 8,CAT 6,CAT9 (No foaming),D,Regulations,LTCS
Required navigation performance(RNP):,A stage of an approach.,A stage during taking-off.,A statement of the navigation performance necessary for operation within a defined airspace,a segment of visual approach.,C,Regulations,LTCS
Speed adjustments may not be requested or applied after the aircraft has passed a point of…………… from the threshold on final approach:,3 NM,4NM,5 NM,8 NM,B,Regulations,LTCS
ADS-B stands for:,Automatic-Dependent - Surveillance-Broadcast,Automatic - Dependent - System - Broadcast,Automatic - Departure - Surveillance - Broadcast,Automatic - Dependent - Service - Broadcast,A,ATC Facilities,LTCS
"If an aircraft equiped ADS-B, in field 10b of flight plan which letter should be filled?",B1 or B2,"E,I","H,E","I,L",A,ATC Facilities,LTCS
What does AMHS stand for?,Aeronautical message handling system,Aviation Messenger Handling system,Aeronautical Meeting Handling system,Both are wrong,A,ATC Facilities,LTCS
the altitude of IF CR822 of ILS Z 02R,1500M,795m,1200M,1800M,B,Terrain,LTCS
the altitude of IF CR293 of ILS Y R20L,950m,1200M,1500M,1850M,A,Terrain,LTCS
Mimimum holding altitude at CR220,1600m,1800m,1700m,1200m,D,Terrain,LTCS
Which following departure sequence is correct?,Commercial flight-Military training flight-Military mission flight,Military mission flight-Commercial flight-Military training flight-,Commercial flight-Military training flight-Military mission flight,,B,Air Traffic Flows,LTCS
"When the aircraft executing VOR Y Rwy20L approach procedure, IAF 1 is..",D23/RDL 227 CRA,CRA.,D21.5/RDL 254 CRA,Everywhere,B,Air Traffic Flows,LTCS
"When the aircraft executing VORY Rwy20L approach procedure from the North of airspace, IAF 2 is..",D16.5/RDL 356 CRA.,D30/RDL 356 CRA,D23/RDL 227 CRA,D21.5/RDL 254 CRA,A,Air Traffic Flows,LTCS
Acronym of RVR?,Runway visibility Range,Runway Visual Range,Runway virtual Range,Runway variety Range,B,Weather Phenomena,LTCS
